index,descriptors,relative_frequency
"Cabernet Franc, Napa Valley, North Coast, California, USA",leather,0.04
"Pinot Noir, Columbia Valley, Washington, USA",mint,0.02
"Red Blends, Red Blends, Sardinia, Southern Italy, Italy",plum,0.04
"Pinot Noir, Marlborough, New Zealand",plum,0.03
"Cabernet Sauvignon, Western Australia, Australia",mint,0.03
"Red Blends, Red Blends, Niederosterreich, Austria",black_currant,0.04
"Gruner Veltliner, Niederosterreich, Austria",lactic,0.04
"Pinot Noir, Central Otago, New Zealand",earth,0.03
"Pinot Noir, Finger Lakes, New York, USA",flower,0.03
"White Blend, Friuli-Venezia Giulia, Northeast Italy, Italy",ripe,0.03
"Alsace white blend, White Blend, Alsace, France",honeysuckle,0.05
"Chardonnay, Trento, Northeast Italy, Italy",citrus,0.04
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",sulfur,0.02
"Austrian Red Blend, Red Blends, Burgenland, Austria",black_currant,0.04
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",cocoa,0.02
"Chardonnay, Columbia Valley, Washington, USA",lees,0.03
"Merlot, Inland Valleys, California, USA",brown_sugar,0.02
"Bordeaux-style White Blend, White Blend, Sauternais, Bordeaux, France",perfumed,0.02
"Tempranillo, Castilla-La Mancha, Central Spain, Spain",earth,0.04
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",leather,0.05
"Viognier, Virginia, USA",citrus,0.04
"Shiraz-Cabernet Sauvignon, Red Blends, South Australia, Australia",herbacious,0.03
"Pinot Noir, Alsace, France",wood,0.03
"Red Blends, Red Blends, Maipo Valley, Central Valley, Chile",plum,0.03
"Tempranillo Blend, Tempranillo, Castilla and Leon, Northwest Spain, Spain",rubber,0.03
"Vermentino, Italian White, Sardinia, Southern Italy, Italy",banana,0.05
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",dust,0.04
"Pinot Noir, Cote de Beaune, Burgundy, France",wood,0.03
"Bordeaux-style Red Blend, Southwest France, France",blackberry,0.03
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",dust,0.03
"Cabernet Sauvignon, Finger Lakes, New York, USA",oak,0.05
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",cassis,0.03
"Falanghina, Italian White, Campania, Southern Italy, Italy",orange_blossom,0.03
"Red Blends, Red Blends, Southwest France, France",stalky,0.03
"Arneis, Italian White, Piedmont, Northwest Italy, Italy",citrus,0.04
"Syrah, Santa Barbara, Central Coast, California, USA",violet,0.03
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",citrus,0.04
"Red Blends, Red Blends, Paso Robles, Central Coast, California, USA",black_currant,0.04
"Gruner Veltliner, Vienna, Austria",flower,0.03
"Pinot Grigio, Marlborough, New Zealand",wax,0.04
"Pinot Grigio, Mendoza, Argentina",lactic,0.05
"Gamay, Beaujolais, France",minerality,0.02
"Chardonnay, Santa Barbara, Central Coast, California, USA",peach,0.03
"Chardonnay, Colchagua Valley, Central Valley, Chile",oily,0.02
"Zinfandel, Mendocino, North Coast, California, USA",blackberry,0.03
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",bramble,0.03
"Chardonnay, Southern Oregon, Oregon, USA",spice,0.05
"Merlot, Libournais, Bordeaux, France",overripe,0.02
"Pinot Noir, Cape South Coast, South Africa",juicy,0.06
"Syrah, Hawkes Bay, New Zealand",smoke,0.04
"Syrah, New South Wales, Australia",berry,0.04
"Syrah, South Australia, Australia",cherry,0.03
"Pinot Noir, Sonoma Valley, North Coast, California, USA",flower,0.04
"Syrah, Colchagua Valley, Central Valley, Chile",earth,0.03
"Merlot, Mendoza, Argentina",flower,0.04
"White Blend, Castilla and Leon, Northwest Spain, Spain",oak,0.04
"Red Blends, Red Blends, South Coast, California, USA",blackberry_jam,0.03
"Merlot, Mendocino, North Coast, California, USA",currant,0.03
"Glera, Italian White, Veneto, Northeast Italy, Italy",wild_flower,0.05
"Red Blends, Red Blends, Colchagua Valley, Central Valley, Chile",fruit,0.04
"Grenache, Aragon, Northeast Spain, Spain",ripe,0.05
"Nerello Mascalese, Italian Red, Sicily, Southern Italy, Italy",perfumed,0.04
"Sauvignon Blanc, Coastal Region, South Africa",ripe,0.03
"Riesling, Long Island, New York, USA",white_flower,0.02
"Chardonnay, Napa-Sonoma, North Coast, California, USA",salinity,0.04
"Riesling, Rheinhessen, Germany",grapefruit,0.04
"Chardonnay, Sicily, Southern Italy, Italy",pineapple,0.06
"Riesling, Western Australia, Australia",lemon_curd,0.02
"Sauvignon Blanc, Sierra Foothills, California, USA",earth,0.04
"White Blend, La Rioja, Northeast Spain, Spain",wood,0.03
"Merlot, Sonoma Valley, North Coast, California, USA",herb,0.03
"Red Blends, Red Blends, Judea, Israel",feral,0.03
"Pinot Noir, Mendoza, Argentina",flower,0.03
"Chardonnay, Long Island, New York, USA",citrus,0.03
"White Blend, Sicily, Southern Italy, Italy",apricot,0.04
"Red Blends, Red Blends, Castilla and Leon, Northwest Spain, Spain",stalky,0.04
"Grenache, Navarra, Northeast Spain, Spain",plum,0.04
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",stone,0.06
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",concrete,0.03
"Pinot Noir, Lombardy, Northwest Italy, Italy",medicinal,0.05
"Pinot Grigio, Alto Adige, Northeast Italy, Italy",wild_flower,0.05
"Tempranillo, Sierra Foothills, California, USA",smoke,0.03
"White Blend, Tuscany, Central Italy, Italy",almond,0.03
"Chardonnay, Finger Lakes, New York, USA",citrus,0.04
"Grenache, Santa Barbara, Central Coast, California, USA",cola,0.03
"Riesling, Pfalz, Germany",peach,0.05
"Bordeaux-style Red Blend, Colchagua Valley, Central Valley, Chile",mint,0.06
"Red Blends, Red Blends, Columbia Valley, Oregon, USA",orange_peel,0.03
"Pinot Noir, Patagonia, Argentina",smoke,0.04
"Sauvignon Blanc, Cape South Coast, South Africa",toast,0.04
"Red Blends, Red Blends, Murcia, Northeast Spain, Spain",cherry,0.04
"Syrah, Limari Valley, Coquimbo Region, Chile",tree_bark,0.03
"Viognier, Santa Barbara, Central Coast, California, USA",melon,0.04
"Sauvignon Blanc, Hawkes Bay, New Zealand",lime,0.04
"Durella, Italian White, Veneto, Northeast Italy, Italy",pastry,0.03
"Red Blends, Red Blends, Santa Barbara, Central Coast, California, USA",fruit,0.04
"Lagrein, Italian Red, Alto Adige, Northeast Italy, Italy",cassis,0.04
"Cabernet Franc, Mendoza, Argentina",jam,0.03
"Chardonnay, Limari Valley, Coquimbo Region, Chile",peach,0.05
"Sauvignon Blanc, Steiermark, Austria",passion_fruit,0.04
"Sauvignon Blanc, Castilla and Leon, Northwest Spain, Spain",grapefruit,0.04
"Red Blends, Red Blends, Veneto, Northeast Italy, Italy",berry,0.03
"Red Blends, Red Blends, Navarra, Northeast Spain, Spain",herb,0.04
"Petite Sirah, Paso Robles, Central Coast, California, USA",tar,0.03
"Red Blends, Red Blends, Mendocino, North Coast, California, USA",earth,0.03
"Merlot, Rapel Valley, Central Valley, Chile",oak,0.04
"Chardonnay, Clear Lake, North Coast, California",apple,0.06
"Petite Sirah, Sonoma Valley, North Coast, California, USA",chocolate,0.05
"White Blend, Catalunya, Northeast Spain, Spain",oily,0.03
"Bordeaux-style White Blend, White Blend, Southwest France, France",herb,0.05
"White Blend, Mendoza, Argentina",resin,0.04
"Sauvignon Blanc, Mendocino, North Coast, California, USA",apple,0.05
"Bordeaux-style Red Blend, Virginia, USA",juicy,0.03
"Chardonnay, Monterey, Central Coast, California, USA",honeysuckle,0.03
"Grenache, Southern Oregon, Oregon, USA",raspberry,0.04
"Chardonnay, Western Australia, Australia",lemon,0.03
"Pinot Noir, Alto Adige, Northeast Italy, Italy",flower,0.04
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",cherry,0.03
"Pinot Grigio, Trento, Northeast Italy, Italy",oak,0.05
"Riesling, Idaho, USA",reductive,0.05
"Tokay Pinot Gris, Alsace, France",apricot,0.03
"Bordeaux-style White Blend, White Blend, Entre-Deux-Mers, Bordeaux",lemon,0.04
"Cabernet Sauvignon, Tuscany, Central Italy, Italy",red_currant,0.05
"Riesling, Willamette Valley, Oregon, USA",steel,0.04
"Red Blends, Red Blends, Catalunya, Northeast Spain, Spain",spice,0.04
"Chardonnay, Navarra, Northeast Spain, Spain",melon,0.04
"Bordeaux-style Red Blend, Graves, Bordeaux, France",blackcurrant,0.02
"Sauvignon Blanc, Alto Adige, Northeast Italy, Italy",savory,0.03
"Chardonnay, Cote de Nuits, Burgundy, France",spice,0.04
"Merlot, Maipo Valley, Central Valley, Chile",pepper,0.04
"Merlot, Curico Valley, Central Valley, Chile",spice,0.04
"Fiano, Italian White, Campania, Southern Italy, Italy",ripe,0.04
"Bordeaux-style Red Blend, Sauternais, Bordeaux, France",juicy,0.05
"Red Blends, Red Blends, Aragon, Northeast Spain, Spain",berry,0.05
"Chardonnay, Chablis, Burgundy, France",apple,0.03
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",nettle,0.03
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",fruit,0.04
"Dolcetto, Italian Red, Piedmont, Northwest Italy, Italy",plum,0.05
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",spice,0.04
"Red Blends, Red Blends, Inland Valleys, California, USA",juicy,0.05
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",lime,0.04
"Pinot Noir, Victoria, Australia",cedar,0.03
"Cabernet Sauvignon, Sierra Foothills, California, USA",jam,0.04
"Riesling, Southern Oregon, Oregon, USA",diesel,0.05
"Tinto del Pais, Tempranillo, Castilla and Leon, Northwest Spain, Spain",oak,0.04
"Chardonnay, Gisborne, New Zealand",vanilla,0.05
"Cabernet Sauvignon, Coastal Region, South Africa",black_currant,0.05
"Syrah, Maipo Valley, Central Valley, Chile",leather,0.04
"Zinfandel, San Francisco Bay, Central Coast, California, USA",earth,0.03
"Pinot Noir, Wairarapa, New Zealand",ripe,0.04
"Merlot, Galilee, Israel",raspberry,0.05
"Grenache, La Rioja, Northeast Spain, Spain",plum,0.03
"Merlot, Napa Valley, North Coast, California, USA",smoke,0.04
"Riesling, Niederosterreich, Austria",yeast,0.02
"Riesling, Alsace, France",citrus,0.04
"Tannat-Cabernet, Red Blends, Southwest France, France",gravel,0.02
"Cabernet Sauvignon, Salta, Argentina",leafy,0.02
"Bordeaux-style Red Blend, Long Island, New York, USA",smoke,0.04
"Syrah, Aconcagua Valley, Aconcagua Region, Chile",cola,0.04
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",spice,0.04
"Pinot Grigio, Mendocino, North Coast, California, USA",oak,0.04
"Cabernet Sauvignon, Galilee, Israel",herb,0.05
"Red Blends, Red Blends, Sicily, Southern Italy, Italy",blue_flower,0.03
"Zinfandel, Inland Valleys, California, USA",blackberry,0.03
"Grenache, Sierra Foothills, California, USA",ripe,0.04
"Chardonnay, Victoria, Australia",citrus,0.04
"White Blend, Southwest France, France",citrus,0.03
"Syrah, South Coast, California, USA",anise,0.03
"Aglianico, Italian Red, Campania, Southern Italy, Italy",toast,0.04
"Sauvignon Blanc, Inland Valleys, California, USA",kiwi,0.03
"Petite Sirah, Mendocino, North Coast, California, USA",blackberry,0.04
"Syrah, Victoria, Australia",herb,0.03
"Chardonnay, South Australia, Australia",apple,0.05
"Merlot, Coastal Region, South Africa",spice,0.04
"Sauvignon Blanc, Mendoza, Argentina",melon,0.04
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",grass,0.03
"Red Blends, Red Blends, Southern Oregon, Oregon, USA",earth,0.04
"Chardonnay, Auckland, New Zealand",salinity,0.04
"Sangiovese, Tuscany, Central Italy, Italy",leather,0.03
"Red Blends, Red Blends, Napa Valley, North Coast, California, USA",cherry,0.04
"Zinfandel, Clear Lake, North Coast, California",bramble,0.03
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",candy,0.04
"Malbec, Patagonia, Argentina",plum,0.04
"Pinot Noir, San Antonio, Aconcagua Region, Chile",dust,0.04
"Tinta de Toro, Tempranillo, Castilla and Leon, Northwest Spain, Spain",rubber,0.04
"Red Blends, Red Blends, Piedmont, Northwest Italy, Italy",leather,0.03
"Pinot Noir, Canterbury and Waipara, New Zealand",dust,0.03
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",leather,0.04
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",fruit,0.04
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",juicy,0.02
"Red Blends, Red Blends, Puglia, Southern Italy, Italy",peanut,0.03
"Merlot, Cachapoal Valley, Central Valley, Chile",ripe,0.05
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",ripe,0.04
"Cabernet Sauvignon, Judea, Israel",violet,0.02
"Chardonnay, Maipo Valley, Central Valley, Chile",fruit,0.04
"Sangiovese, Sierra Foothills, California, USA",ripe,0.06
"Pinot Grigio, Columbia Valley, Washington, USA",ripe,0.04
"Bordeaux-style Red Blend, Western Australia, Australia",smoke,0.03
"Tempranillo Blend, Tempranillo, La Rioja, Northeast Spain, Spain",raisin,0.04
"Tempranillo, La Rioja, Northeast Spain, Spain",spice,0.04
"Chardonnay, Virginia, USA",lactic,0.04
"Tempranillo, Valencia, Northeast Spain, Spain",bacon,0.05
"Pinot Noir, Cote de Nuits, Burgundy, France",spice,0.02
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",dust,0.03
"Pinot Noir, Willamette Valley, Oregon, USA",herb,0.04
"Malbec, Napa Valley, North Coast, California, USA",raspberry,0.03
"Cabernet Franc, Columbia Valley, Washington, USA",spice,0.02
"Pinot Noir, Napa Valley, North Coast, California, USA",cherry,0.05
"Viognier, Columbia Valley, Washington, USA",ripe,0.03
"Chardonnay, New South Wales, Australia",apple,0.05
"Bordeaux-style Red Blend, Entre-Deux-Mers, Bordeaux",blackberry,0.03
"Chardonnay, Beaujolais, France",stone,0.02
"Pinot Noir, Tasmania, Australia",cinnamon,0.03
"Red Blends, Red Blends, Columbia Valley, Washington, USA",berry,0.03
"Garganega, Italian White, Veneto, Northeast Italy, Italy",apple,0.03
"Riesling, Santa Barbara, Central Coast, California, USA",tangerine,0.02
"Chardonnay, Paso Robles, Central Coast, California, USA",honeydew,0.05
"Riesling, Ontario, Canada",peach,0.04
"Chardonnay, Coastal Region, South Africa",citrus,0.04
"Pinot Noir, Niederosterreich, Austria",vanilla,0.03
"Chardonnay, Maconnais, Burgundy, France",apple,0.03
"Tempranillo, Mendoza, Argentina",dust,0.04
"Petite Sirah, Sierra Foothills, California, USA",blackberry_jam,0.03
"White Blend, Umbria, Central Italy, Italy",citrus,0.03
"Nero dAvola, Italian Red, Sicily, Southern Italy, Italy",toast,0.04
"Merlot, Paso Robles, Central Coast, California, USA",candy,0.02
"Syrah, Mendoza, Argentina",smoke,0.03
"Bordeaux-style Red Blend, Bourg & Blaye, Bordeaux, France",smoke,0.03
"Nebbiolo, Lombardy, Northwest Italy, Italy",woody_berry,0.04
"Sangiovese, Emilia-Romagna, Northeast Italy, Italy",leather,0.04
"Red Blends, Red Blends, Coteaux de Languedoc, Languedoc-Roussillon, France",hickory_smoke,0.03
"Chardonnay, Marlborough, New Zealand",pear,0.06
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",earth,0.02
"Grenache, Castilla-La Mancha, Central Spain, Spain",leather,0.06
"White Blend, Galicia, Northwest Spain, Spain",minerality,0.04
"Zinfandel, Paso Robles, Central Coast, California, USA",boysenberry,0.03
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",earth,0.04
"Syrah, Western Australia, Australia",herb,0.03
"Cabernet Sauvignon, Mendocino, North Coast, California, USA",black_cherry,0.03
"Syrah, Southern Oregon, Oregon, USA",coffee,0.03
"Sauvignon Blanc, Burgenland, Austria",grass,0.03
"Merlot, Santa Barbara, Central Coast, California, USA",pepper,0.03
"Zinfandel, Columbia Valley, Washington, USA",strawberry,0.04
"Chardonnay, Cote de Beaune, Burgundy, France",citrus,0.03
"White Blend, Southern Greece, Greece",kiwi,0.03
"White Blend, Pais Vasco, Northwest Spain, Spain",tire_rubber,0.03
"Turbiana, Italian White, Lombardy, Northwest Italy, Italy",savory,0.03
"Bordeaux-style Red Blend, Libournais, Bordeaux, France",smoke,0.02
"Chardonnay, Cape South Coast, South Africa",lime,0.04
"Sauvignon Blanc, Columbia Valley, Washington, USA",oak,0.04
"Tempranillo, Navarra, Northeast Spain, Spain",berry,0.04
"Zinfandel, Sonoma Valley, North Coast, California, USA",plum,0.03
"Austrian white blend, White Blend, Niederosterreich, Austria",wood,0.03
"Syrah, Cachapoal Valley, Central Valley, Chile",black_fruit,0.04
"Riesling, Canterbury and Waipara, New Zealand",flower,0.03
"Red Blends, Red Blends, Cachapoal Valley, Central Valley, Chile",olive,0.03
"Pinot Noir, Santa Barbara, Central Coast, California, USA",pomegranate,0.03
"Cabernet Sauvignon, Clear Lake, North Coast, California",plum,0.03
"Red Blends, Red Blends, Tuscany, Central Italy, Italy",blackberry,0.04
"Sagrantino, Italian Red, Umbria, Central Italy, Italy",spice,0.06
"Tempranillo, Inland Valleys, California, USA",plum,0.05
"Red Blends, Red Blends, Southern Greece, Greece",smoke,0.05
"Chardonnay, Curico Valley, Central Valley, Chile",peach,0.04
"Bordeaux-style White Blend, White Blend, Graves, Bordeaux, France",lactic,0.04
"Syrah, Inland Valleys, California, USA",vanilla,0.03
"Malbec, Mendoza, Argentina",blackberry,0.03
"Chardonnay, Sonoma Valley, North Coast, California, USA",steel,0.04
"Syrah, Columbia Valley, Oregon, USA",smoked_meat,0.03
"White Blend, Veneto, Northeast Italy, Italy",savory,0.03
"Chardonnay, Friuli-Venezia Giulia, Northeast Italy, Italy",pear,0.04
"Pinot Noir, South Australia, Australia",savory,0.03
"Red Blends, Red Blends, Maule Valley, Central Valley, Chile",flower,0.05
"Cabernet Sauvignon, Inland Valleys, California, USA",cherry,0.03
"Red Blends, Red Blends, Sierra Foothills, California, USA",jam,0.03
"White Blend, Columbia Valley, Washington, USA",oak,0.04
"Chardonnay, Mendocino, North Coast, California, USA",spice,0.03
"Bordeaux-style Red Blend, San Francisco Bay, Central Coast, California, USA",dust,0.04
"Red Blends, Red Blends, Coastal Region, South Africa",vanilla,0.03
"Viognier, Mendoza, Argentina",lime,0.03
"Cabernet Franc, Finger Lakes, New York, USA",blackberry,0.03
"Cabernet Franc, Anjou-Saumar, Loire Valley, France",perfumed,0.03
"Merlot, Southern Oregon, Oregon, USA",berry,0.03
"Red Blends, Red Blends, Mendoza, Argentina",herb,0.03
"Riesling, Marlborough, New Zealand",minerality,0.03
"Riesling, Central Otago, New Zealand",tree_fruit,0.03
"Pinot Noir, Champagne, France",toast,0.04
"Syrah, Northern Rhone, Rhone Valley, France",flower,0.03
"Chardonnay, Napa Valley, North Coast, California, USA",fruit,0.03
"Red Blends, Red Blends, Thracian Valley, Bulgaria",inky,0.03
"Chardonnay, Galilee, Israel",grapefruit,0.04
"Syrah, Galilee, Israel",fruit-forward,0.03
"Grenache, Paso Robles, Central Coast, California, USA",cinnamon,0.03
"Red Blends, Red Blends, South Australia, Australia",spice,0.04
"Bordeaux-style Red Blend, Maipo Valley, Central Valley, Chile",oak,0.02
"Chardonnay, Willamette Valley, Oregon, USA",lemon,0.02
"Red Blends, Red Blends, Galilee, Israel",cassis,0.03
"Pinot Noir, Cote Chalonnaise, Burgundy, France",red_berry,0.02
"Pinot Noir, Maule Valley, Central Valley, Chile",dust,0.03
"Pinot Noir, Columbia Valley, Oregon, USA",earth,0.03
"Tempranillo, Castilla and Leon, Northwest Spain, Spain",cherry,0.03
